"dt","brand","models","source","average_daily_price"
"2023-10-15","Converse","AS","CCS.com",79.95
"2023-10-22","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-24","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-17","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-28","Emerica","Wino G6 Slip-On Shoes","Tactics.com",69.95
"2023-10-02","DC","Lynx Zero S ","CCS.com",74.95
"2023-10-25","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-13","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-09","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-07","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-22","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-03","Lakai","MOD ","CCS.com",89.95
"2023-10-23","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-19","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-13","Vans","Wayvee ","CCS.com",94.95
"2023-10-18","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-25","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-14","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-14","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-11","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-04","Saucony","Shadow 6000 ","CCS.com",84.0
"2023-10-26","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-13","Converse","AS","CCS.com",79.95
"2023-10-06","Vans","Wayvee ","CCS.com",94.95
"2023-10-08","New","Balance 580 ","CCS.com",91.0
"2023-10-12","Rainbow Sandals","Classic Rubber Single Layer Eco Sandals","Tactics.com",0.0
"2023-10-20","Adidas","Stan Smith ADV ","Tactics.com",94.95
"2023-10-06","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-07","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-20","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-15","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-01","Emerica","Wino G6 Slip-On Shoes","Tactics.com",72.45
"2023-10-12","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-14","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-24","Globe","Gillette ","CCS.com",84.0
"2023-10-07","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-01","Lakai","Manchester ","CCS.com",71.95
"2023-10-18","Emerica","OG","CCS.com",94.95
"2023-10-23","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-12","Globe","Gillette Mid ","CCS.com",129.95
"2023-10-02","Emerica","Wino G6 Cup Slip-On Shoes","Tactics.com",84.95
"2023-10-25","eS","Penny 2 ","Tactics.com",0.0
"2023-10-01","Last Resort","VM004 - Milic ","Tactics.com",94.95
"2023-10-16","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-15","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-04","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-13","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-09-30","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-22","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-08","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-08","eS","Muska ","CCS.com",149.95
"2023-10-05","Adidas","Nora ","CCS.com",79.95
"2023-10-03","Nike SB","Leo ","Tactics.com",94.95
"2023-10-21","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-11","Emerica","Wino G6 Slip-On Shoes","Tactics.com",74.95
"2023-10-25","Reebok","Club C Bulc ","CCS.com",89.95
"2023-10-05","Converse","AS","CCS.com",79.95
"2023-10-13","Emerica","Wino G6 Cup Slip-On Shoes","Tactics.com",84.95
"2023-10-06","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-03","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-24","Lakai","Terrace ","Tactics.com",86.95
"2023-10-02","Lakai","Essex ","CCS.com",76.95
"2023-10-22","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-03","Osiris","D3 Og ","CCS.com",95.95
"2023-10-22","C1rca","AL 50 ","CCS.com",69.95
"2023-10-19","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-01","Nike SB","SB Zoom Nyjah 3 ","CCS.com",77.0
"2023-10-15","Adidas","Nora ","Tactics.com",79.95
"2023-10-04","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-25","C1rca","CX201R ","CCS.com",79.95
"2023-09-30","eS","Evant ","CCS.com",99.95
"2023-10-23","Globe","Mahalo Plus ","CCS.com",89.95
"2023-10-22","Adidas","Nora ","Tactics.com",79.95
"2023-10-20","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-19","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-14","Globe","Sabre ","CCS.com",159.95
"2023-10-27","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-21","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-23","Last Resort","Resort AB x Spitfire VM001 Suede ","CCS.com",89.95
"2023-10-05","New","Balance 22 ","CCS.com",84.95
"2023-10-10","New","Balance 22 ","CCS.com",84.95
"2023-10-21","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-17","Nike SB","Leo ","Tactics.com",94.95
"2023-10-25","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-09","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-11","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-03","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-20","Lakai","Flaco II ","Tactics.com",79.95
"2023-10-21","Vans","Rowan 2 Pro ","Tactics.com",109.95
"2023-10-15","Emerica","Wino G6 Slip-On Shoes","Tactics.com",74.95
"2023-10-12","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-27","Last Resort","VM001 - Suede Low Top ","Tactics.com",89.95
"2023-10-13","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-11","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-18","C1rca","Buckler Sk ","CCS.com",69.95
"2023-10-28","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-24","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-25","Nike SB","SB Chron 2 ","CCS.com",74.95
"2023-10-24","C1rca","Tave TT ","CCS.com",79.95
"2023-10-27","Emerica","Dickson G6 ","Tactics.com",79.95
"2023-10-09","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-20","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-20","Last Resort","VM003 - Suede High Top ","Tactics.com",99.95
"2023-10-11","Last Resort","VM001 - Suede High Top ","Tactics.com",89.95
"2023-10-09","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-05","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-01","Etnies","Joslin Vulc ","CCS.com",94.95
"2023-10-22","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-05","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-19","eS","Penny 2 ","CCS.com",99.95
"2023-10-28","Vans","Rowan 2 ","CCS.com",109.95
"2023-10-24","Last Resort","VM001 - Suede Low Top ","Tactics.com",93.28
"2023-10-17","Globe","Sabre ","CCS.com",159.95
"2023-10-15","New Balance","Numeric 306 Jamie Foy ","Tactics.com",92.45
"2023-09-30","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-04","New Balance","Numeric 306 Jamie Foy ","Tactics.com",89.95
"2023-10-10","Vans","Rowan ","CCS.com",84.95
"2023-10-27","Reebok","Club C Bulc ","CCS.com",89.95
"2023-10-21","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-09","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-16","New","Balance 417 Franky Halloween ","CCS.com",94.95
"2023-10-24","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-20","Opus","Standard Mid ","CCS.com",74.95
"2023-10-08","Lakai","Trudger ","Tactics.com",89.95
"2023-10-06","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-09-30","Etnies","Windrow ","Tactics.com",79.95
"2023-10-28","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-10","Globe","Sabre ","CCS.com",159.95
"2023-10-20","New","Balance 306 Foy ","CCS.com",89.95
"2023-09-30","N/A","Previous","Tactics.com",0.0
"2023-10-19","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-15","Globe","Sabre ","CCS.com",159.95
"2023-10-11","Adidas","Busenitz ","CCS.com",84.95
"2023-10-23","New Balance","Numeric 808 Tiago Lemos ","Tactics.com",109.95
"2023-10-12","Adidas","Busenitz Vulc II ","CCS.com",74.95
"2023-10-16","Adidas","Tyshawn Low ","Tactics.com",84.95
"2023-10-13","Adidas","Nora ","Tactics.com",79.95
"2023-10-12","Vans","Skate Half Cab Shoes","Tactics.com",0.0
"2023-10-27","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-23","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-01","N/A","Previous","Tactics.com",0.0
"2023-10-17","Rainbow Sandals","The Rastafarian Sandals","Tactics.com",0.0
"2023-10-03","Reebok","Club C Mid II ","CCS.com",89.95
"2023-10-01","Emerica","x Michael Sieben Omen Hi ","CCS.com",84.95
"2023-10-16","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-22","Nike SB","SB Zoom Janoski OG Plus ","CCS.com",94.95
"2023-10-13","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-11","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-08","Emerica","OG","CCS.com",94.95
"2023-10-24","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-12","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-02","Vans","Authentic VR3 Sf ","CCS.com",84.95
"2023-10-10","Converse","AS-1 Pro ","Tactics.com",79.95
"2023-10-05","New","Balance 808 Tiago ","CCS.com",77.0
"2023-10-03","Adidas","Superstar ADV ","CCS.com",99.95
"2023-10-06","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-09-30","Hours","Is Yours Cohiba Sl30 ","CCS.com",88.95
"2023-10-13","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-02","Hours","Is Yours Cohiba Sl30 ","CCS.com",88.95
"2023-09-30","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-05","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-05","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-03","Adidas","Tyshawn Low ","CCS.com",84.95
"2023-10-28","Lakai","x Pacifico Cambridge ","CCS.com",79.95
"2023-10-03","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-15","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-07","eS","Penny 2 ","CCS.com",99.95
"2023-10-25","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-05","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-02","Nike SB","SB Zoom Nyjah 3 ","CCS.com",77.0
"2023-10-17","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-19","C1rca","Buckler Sk ","CCS.com",69.95
"2023-10-28","Adidas","Nora ","Tactics.com",79.95
"2023-10-15","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-14","Emerica","Provost G6 ","Tactics.com",84.95
"2023-10-27","Opus","Court Hi ","CCS.com",69.95
"2023-10-12","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-23","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-14","Saucony","Shadow 6000 ","CCS.com",111.98
"2023-10-10","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-27","eS","Accel OG ","Tactics.com",89.95
"2023-10-09","DC","Metric S x Will ","CCS.com",109.95
"2023-10-08","Footprint","Liberty ","Tactics.com",0.0
"2023-10-11","Vans","Wayvee ","CCS.com",94.95
"2023-10-16","Lakai","Terrace ","Tactics.com",84.95
"2023-10-27","Opus","Court Low ","CCS.com",59.95
"2023-10-02","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-26","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-03","Converse","Chuck Taylor All Star Pro ","Tactics.com",74.95
"2023-10-07","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-27","Last Resort","Resort AB x Spitfire VM003 Canvas ","CCS.com",89.95
"2023-10-21","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-26","Rainbow Sandals","The Bentley Sandals","Tactics.com",0.0
"2023-10-03","N/A","Previous","Tactics.com",0.0
"2023-10-19","Opus","Court side Hi ","CCS.com",69.95
"2023-10-25","Last Resort","Resort AB x Spitfire VM003 Canvas ","CCS.com",89.95
"2023-10-17","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-06","Emerica","Dickson G6 ","Tactics.com",79.95
"2023-10-16","Last Resort","VM001 - Suede High Top ","Tactics.com",99.95
"2023-10-21","C1rca","CX201R ","CCS.com",79.95
"2023-10-19","C1rca","AL 50 Slim ","CCS.com",69.95
"2023-10-16","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-19","DAKINE","Friendly Foam Vanish Sandals","Tactics.com",0.0
"2023-10-13","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-18","eS","Accel OG ","Tactics.com",89.95
"2023-10-19","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-28","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-05","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-13","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-05","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-15","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-27","Globe","Gillette ","CCS.com",84.0
"2023-10-25","Emerica","Wino G6 Cup Slip-On Shoes","Tactics.com",84.95
"2023-10-27","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-10","Adidas","Forum 84 Mid ADV ","Tactics.com",0.0
"2023-10-07","Lakai","Terrace ","Tactics.com",84.95
"2023-10-13","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-12","Vans","Skate Sk8-Hi Shoes","Tactics.com",79.95
"2023-10-05","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-14","Adidas","Superstar ADV ","Tactics.com",99.95
"2023-10-01","eS","Accel OG ","Tactics.com",89.95
"2023-10-18","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-19","Opus","Standard Low ","CCS.com",64.95
"2023-10-02","Vans","Half Cab GORE-TEX MTE-3 Boots","Tactics.com",169.95
"2023-10-07","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-22","eS","Accel OG ","Tactics.com",89.95
"2023-09-30","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-04","Last Resort","VM003 - Suede High Top ","Tactics.com",99.95
"2023-09-30","eS","The Muska ","Tactics.com",149.95
"2023-10-20","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-16","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-06","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-09","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-01","New Balance","Numeric 417 Franky Villani ","Tactics.com",89.95
"2023-10-11","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-16","DAKINE","Friendly Foam Comfy Sandals","Tactics.com",0.0
"2023-10-17","Globe","Mahalo ","CCS.com",84.95
"2023-10-25","Globe","Gillette ","CCS.com",84.0
"2023-10-21","Saucony","Shadow 6000 ","CCS.com",139.95
"2023-10-03","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-12","Nike SB","SB Zoom Blazer Mid ","CCS.com",89.95
"2023-10-04","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-06","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-08","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-08","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-05","Emerica","Wino G6 Slip-On Shoes","Tactics.com",72.45
"2023-10-03","Vans","Authentic VR3 Sf ","CCS.com",84.95
"2023-10-24","Opus","Court Hi ","CCS.com",69.95
"2023-10-26","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-02","Converse","One Star Pro Shaggy Suede ","CCS.com",74.95
"2023-10-28","New Balance","Numeric 600 Tom Knox ","Tactics.com",94.95
"2023-10-05","New","Balance Numeric 480 ","CCS.com",99.95
"2023-09-30","Nike SB","Ishod Wair PRM ","Tactics.com",0.0
"2023-10-26","Nike SB","Leo ","Tactics.com",94.95
"2023-10-09","Emerica","Wino G6 Cup Slip-On Shoes","Tactics.com",84.95
"2023-10-08","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-08","Rainbow Sandals","The Bentley Sandals","Tactics.com",0.0
"2023-10-19","eS","The Muska ","Tactics.com",149.95
"2023-10-26","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-14","New","Balance 508 Westgate ","CCS.com",79.95
"2023-10-05","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-12","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-08","Adidas","Superstar ADV ","CCS.com",99.95
"2023-10-22","C1rca","Tave TT ","CCS.com",79.95
"2023-10-08","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-17","Lakai","Trudger ","Tactics.com",89.95
"2023-10-28","Nike SB","SB React Leo ","CCS.com",94.95
"2023-10-24","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-05","Lakai","Cambridge ","Tactics.com",76.95
"2023-10-23","Reebok","Pump Tz ","CCS.com",159.95
"2023-10-21","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-15","Last Resort","Resort AB VM003 Suede Lo ","CCS.com",89.95
"2023-10-01","Globe","Gillette ","CCS.com",119.95
"2023-10-08","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-24","DC","Manual Hi ","Tactics.com",0.0
"2023-10-21","Rainbow Sandals","Kids Grombow Sandals","Tactics.com",0.0
"2023-10-26","Converse","Louie Lopez Pro Mid ","Tactics.com",79.95
"2023-10-12","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-11","Adidas","Nora ","CCS.com",79.95
"2023-10-08","Reebok","BB 4000 II ","CCS.com",89.95
"2023-10-28","Lakai","x Pacifico Telford ","CCS.com",99.95
"2023-10-27","Lakai","Flaco II ","Tactics.com",79.95
"2023-10-05","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-01","Lakai","Essex ","CCS.com",76.95
"2023-10-09","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-17","Saucony","Shadow 6000 ","CCS.com",111.98
"2023-10-14","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-22","DC","JS 1 ","CCS.com",139.95
"2023-10-14","eS","Muska ","CCS.com",149.95
"2023-10-20","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-15","eS","Accel Slim Mid ","CCS.com",94.95
"2023-10-11","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-04","New","Balance 1010 Tiago ","CCS.com",109.95
"2023-10-08","Vans","Skate Half Cab '92 Shoes","Tactics.com",94.95
"2023-10-15","Globe","Gillette Mid ","CCS.com",129.95
"2023-09-30","Lakai","MOD ","CCS.com",89.95
"2023-10-17","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-01","DC","Lynx Zero S ","CCS.com",74.95
"2023-10-02","Vans","Sk8","CCS.com",104.95
"2023-10-23","DC","x Ben G Truth ","CCS.com",139.95
"2023-10-28","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-16","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-12","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-02","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-06","eS","Muska ","CCS.com",149.95
"2023-10-23","Reebok","Club C Bulc ","CCS.com",89.95
"2023-10-20","Tactics","Cascadia Puffy Slippers","Tactics.com",0.0
"2023-10-17","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-16","Converse","Chuck 70 Ox ","CCS.com",84.95
"2023-10-28","Nike SB","Ishod Wair ","Tactics.com",0.0
"2023-10-28","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-27","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-23","Footprint","Liberty ","Tactics.com",0.0
"2023-10-10","N/A","Previous","Tactics.com",0.0
"2023-10-25","Opus","Standard Low ","CCS.com",64.95
"2023-10-15","Last Resort","VM003 - Canvas High Top ","Tactics.com",89.95
"2023-10-26","Emerica","Wino G6 Cup Slip-On Shoes","Tactics.com",84.95
"2023-10-09","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-28","Saucony","Shadow 5000 ","CCS.com",129.95
"2023-10-18","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-13","DC","Metric S x Will ","CCS.com",109.95
"2023-10-15","Adidas","PUIG Indoor ","Tactics.com",79.95
"2023-10-14","Emerica","Gamma G6 ","Tactics.com",94.95
"2023-10-08","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-20","Opus","Court Low ","CCS.com",59.95
"2023-10-18","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-07","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-21","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-14","Converse","One Star Pro Ox ","CCS.com",74.95
"2023-10-17","Lakai","Terrace ","Tactics.com",84.95
"2023-10-12","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-22","Opus","Standard Low ","CCS.com",64.95
"2023-10-08","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-18","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-07","New","Balance 997H ","CCS.com",89.95
"2023-10-28","Thirtytwo","Digger Boots","Tactics.com",174.95
"2023-10-22","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-05","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-21","New Balance","Numeric 1010 Tiago Lemos ","Tactics.com",109.95
"2023-10-27","New","Balance 417 Villani ","CCS.com",89.95
"2023-10-05","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-28","Saucony","Shadow 6000 ","CCS.com",139.95
"2023-10-12","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-10","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-10","Converse","Ctas Pro Mid ","CCS.com",74.95
"2023-10-05","eS","x Chomp On Kicks Tribo x Vireo ","CCS.com",119.95
"2023-10-05","Last Resort","VM001 - Suede Low Top ","Tactics.com",94.95
"2023-10-08","Last Resort","Resort AB VM003 Suede Hi ","CCS.com",99.95
"2023-10-09","Emerica","OG","CCS.com",94.95
"2023-10-03","Nike SB","SB Blazer Low Pro GT Prm ","CCS.com",89.95
"2023-10-07","New","Balance 22 ","CCS.com",84.95
"2023-10-02","eS","Accel OG ","Tactics.com",89.95
"2023-10-02","Etnies","Marana Michelin ","Tactics.com",104.95
"2023-10-20","DC","Manual Hi ","Tactics.com",0.0
"2023-10-15","Nike SB","Zoom Blazer Low Pro GT ","Tactics.com",84.95
"2023-10-01","Nike SB","SB Zoom Blazer Low Pro GT ","CCS.com",59.47
"2023-10-13","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-11","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-20","Adidas","Nora ","Tactics.com",79.95
"2023-10-09","Adidas","Forum 84 Low ADV ","CCS.com",109.95
"2023-10-03","Saucony","Shadow 6000 ","CCS.com",119.95
"2023-10-10","eS","Muska ","CCS.com",149.95
"2023-10-09","Adidas","Adimatic Mid x Maite ","CCS.com",131.95
"2023-10-16","New","Balance Numeric 480 ","CCS.com",99.95
"2023-10-19","Opus","Honey Slip ","CCS.com",64.95
"2023-10-19","Adidas","Busenitz ","CCS.com",84.95
"2023-10-10","Converse","Ctas Pro Hi ","CCS.com",74.95
"2023-10-27","New","Balance 306 Foy ","CCS.com",89.95
"2023-10-26","C1rca","AL 50 ","CCS.com",69.95
"2023-10-09","Globe","Mahalo ","CCS.com",84.95
"2023-10-28","Etnies","JOSL1N ","Tactics.com",109.95
"2023-10-02","Vans","x Hockey Skate Slip","CCS.com",79.95
"2023-10-24","Opus","Standard Mid ","CCS.com",74.95
"2023-10-18","Etnies","MC Rap Hi ","Tactics.com",94.95
"2023-10-16","Converse","Chuck Taylor All Star Pro High ","Tactics.com",79.95
"2023-10-12","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-04","Nike SB","Leo ","Tactics.com",94.95
"2023-10-14","Saucony","Jazz Court ","CCS.com",70.0
"2023-10-14","Last Resort","Resort AB VM004 Milic Suede ","CCS.com",94.95
"2023-10-05","Adidas","Superstar ADV ","CCS.com",99.95
"2023-10-08","Vans","Skate Authentic ","CCS.com",79.95
"2023-10-09","New","Balance 22 ","CCS.com",84.95
"2023-10-07","Adidas","Busenitz Pro ","Tactics.com",84.95
"2023-10-05","Emerica","Provost G6 ","Tactics.com",84.95
"2023-10-03","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-25","Reebok","Club C 85 ","CCS.com",84.95
"2023-10-08","Last Resort","Resort AB VM002 Suede ","CCS.com",89.95
"2023-10-20","Vans","Crockett High Decon ","CCS.com",89.95
"2023-10-01","eS","Evant ","CCS.com",99.95
"2023-10-05","Adidas","Samba ADV ","CCS.com",99.95
"2023-10-13","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-24","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-14","Nike SB","Zoom Blazer Mid ","Tactics.com",89.95
"2023-10-04","Converse","Fastbreak Pro ","Tactics.com",79.95
"2023-10-22","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-20","Adidas","Superstar ADV ","CCS.com",99.95
"2023-10-22","Vans","Skate Old Skool Shoes","Tactics.com",74.95
"2023-10-16","Adidas","Busenitz ","CCS.com",84.95
"2023-10-10","Adidas","Samba ADV ","Tactics.com",99.95
"2023-10-10","eS","Accel OG ","Tactics.com",89.95
"2023-10-07","Vans","Wayvee ","CCS.com",94.95
"2023-10-04","Adidas","Tyshawn ","CCS.com",89.95
"2023-10-09","eS","Penny 2 ","Tactics.com",0.0
"2023-10-24","Nike SB","SB Zoom Janoski OG+ ","CCS.com",94.95
"2023-10-10","Nike SB","BRSB Eco ","Tactics.com",89.95
"2023-10-01","Lakai","MOD ","CCS.com",89.95
"2023-10-13","Vans","Skate Half Cab &#39;92 ","CCS.com",94.95
"2023-10-27","Lakai","x Pacifico Cambridge ","CCS.com",79.95
"2023-10-12","Thirtytwo","The Lounger Slippers","Tactics.com",79.95
"2023-10-14","Converse","Chuck 70 Hi ","CCS.com",89.95
"2023-10-01","Converse","Chuck Taylor All Star Pro Mid ","Tactics.com",74.95
"2023-10-16","Converse","AS","CCS.com",79.95
